"year";"length";"budget";"rating";"votes"
"Hangin' with the Homeboys";1991;88;1900000;6.6;216
"Hours, The";2002;114;25000000;7.6;16692
"I Love You Came Too Late";2004;85;125000;8;7
"Mantis in Lace";1968;68;35000;3.6;50
"House of Dark Shadows";1970;102;750000;5.7;328
"Town & Country";2001;104;90000000;4.5;1434
"Chasing Liberty";2004;111;23000000;5.7;1911
"Erotic Adventures of Zorro, The";1972;102;75000;4.2;32
"Lovely & Amazing";2001;91;250000;6.9;1813
"Shakespeare's Children";1996;50;100000;5.1;12
"Midnight Sun";2003;18;4000;1.6;12
"Last Chase, The";1981;101;4900000;4.3;147
"Day of Defense";2003;102;500000;3;8
"Critical Care";1997;107;12000000;5.8;397
"Mission to Mars";2000;113;90000000;4.9;15018
"Battle for the Planet of the Apes";1973;96;1800000;4.9;2335
"Ace Ventura: When Nature Calls";1995;90;30000000;4.9;15161
"Night of Dark Shadows";1971;129;900000;4.6;139
"Shawshank Redemption, The";1994;142;25000000;9.1;149494
"Men in Love";1989;85;350000;2.9;23
"Old School";2003;92;24000000;6.7;14283
"Escanaba in da Moonlight";2001;91;1000000;5.5;373
"Starkweather";2004;92;1000000;4.6;89
"Killer Klowns from Outer Space";1988;88;2000000;5.3;2702
"Swordswallowers and Thin Men";2003;105;2500;8.2;6
"Risky Business";1983;98;6200000;6.7;8622
"Batoru rowaiaru";2000;122;4500000;7.9;12138
"Girl Missing";1933;69;107000;6.1;33
"Shrink Is In, The";2001;87;6000000;4.9;319
"Antikiller";2002;114;5000000;5.4;231
"When Tyrants Kiss";2004;93;4000;8.1;7
"Country of My Skull";2004;104;12000000;5.1;194
"Swiri";1999;125;5000000;6.6;1704
"Edgeplay";2004;110;80000;7.2;17
"Frenzy";1972;116;3500000;7.3;3698
"City Lights";1931;87;1500000;8.5;7802
"Message in a Bottle";1999;126;30000000;5.4;5582
"Fear and Loathing in Las Vegas";1998;118;18500000;7.2;21484
"Portrait of Jennie";1948;86;4041000;7.5;954
"Angela's Ashes";1999;145;25000000;6.8;4347
"Writer's Block";2003;23;1200;7.2;29
"Breed, The";2001;91;4000000;4.7;582
"Party, The";1968;99;1500000;7.4;4235
"Voice Inside, The";2001;13;1000;8.9;8
"Fan, The";1996;114;55000000;5.4;6920
"Swimming with Sharks";1994;101;700000;7.1;4837
"Fritz the Cat";1972;80;1000000;5.8;1109
"Friday After Next";2002;85;20000000;4.9;1659
"Wong Fei-hung chi saiwik hung si";1997;102;12000000;6.2;433
"Maltese Falcon, The";1941;101;300000;8.4;19444
"Lady Windermere's Fan";1925;89;320000;7.8;77
"Camp Slaughter";2004;95;350000;2;180
"Life and Times of MC Beer Bong, The";2004;85;1000;8.8;6
"Crime Partners 2000";2001;102;250000;4.4;57
"Blanche Fury";1947;90;1500000;6.6;72
"Daddy's Boys";1988;90;300000;2.7;6
"One Rainy Afternoon";1936;94;511383;6;13
"Truth or Dare? - A Critical Madness";1986;90;200000;4.7;85
"Recess: School's Out";2001;82;10000000;6;512
"Secret Journal of Benny Travis, The";2003;29;51000;8.6;140
"In Person";1935;87;493000;6.1;47
"Analyze This";1999;109;30000000;6.6;24521
"Ghost and the Darkness, The";1996;109;55000000;6.4;8360
"Everything in This Country Must";2004;20;250000;7.1;7
"Utomlyonnye solntsem";1994;132;2800000;7.6;2173
"Ed and His Dead Mother";1993;86;1800000;5.3;413
"Rush Hour 2";2001;86;90000000;6.5;16581
"Jackpot";2001;97;400000;5.2;213
"Good Will Hunting";1997;126;10000000;7.8;60858
"Frankenfish";2004;84;3000000;4.6;309
"Passion of the Christ, The";2004;127;30000000;7.4;34046
"Cimarron";1931;131;1433000;6.2;319
"Hairspray";1988;92;2000000;6.6;2752
"From Here to Eternity";1953;118;1650000;7.9;5995
"Joe";1970;102;106000;6.6;361
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze";1991;88;25000000;4.6;3429
"Montana";1998;92;4000000;6.1;417
"Jimmy Show, The";2001;99;1000000;4.6;145
"Deep Blue";2003;91;5000000;7.2;363
"Apartment, The";1960;125;3000000;8.4;11214
"Rock 'n' Roll Frankenstein";1999;88;250000;4.3;66
"Mrs. Winterbourne";1996;105;25000000;5.8;1310
"Spanish Judges";1999;98;3500000;4.8;178
"1776";1972;180;4000000;7.3;1754
"Black Rain";1989;125;14000000;6.3;5636
"Codename: Simon";2004;10;50000;9.2;22
"Puzzle, The";2000;22;1500;8.5;10
"My Family";1995;128;5500000;7;859
"Braveheart";1995;177;53000000;8.3;92437
"Antony and Cleopatra";1972;160;1600000;4.9;84
"Gojira";1954;98;1000000;6.9;1106
"Save the Last Dance";2001;112;13000000;6.1;7613
"Twilight People, The";1973;84;150000;3.1;43
"Central Airport";1933;72;356000;5.3;44
"Son";2002;125;2000000;4.2;33
"Face to Face";2003;92;8000;6;9
"Wolf Creek";2005;95;1000000;4.8;33
"Treasure of the Sierra Madre, The";1948;126;3800000;8.4;10470
"Track 29";1988;90;5000000;5.5;417
"Grey Owl";1999;118;30000000;5.7;629
"Creepshow";1982;120;8000000;6;3687
"Nymphoid Barbarian in Dinosaur Hell, A";1991;82;40000;2.2;196
"Maniac Cop 2";1990;90;4000000;4.4;360
"Last Chair";2003;30;25000;9;12
"I'll Remember April";1999;90;1800000;6.2;222
"Muertos de risa";1999;111;3500000;6.3;334
"Finders Keepers, Lovers Weepers!";1968;71;82000;4;69
"Cold Heart";2001;95;3000000;4.1;140
"Moonlight Resurrection";1988;11;25000;2;6
"Anthrax";2001;90;2500000;4.1;49
"Cider House Rules, The";1999;126;24000000;7.5;18950
"90";2005;14;4000;9.1;10
"No Looking Back";1998;96;5000000;5.6;622
"Miller's Crossing";1990;115;14000000;8;14575
"Film School Confidential";2002;82;75000;6.4;17
"Exorcist: The Beginning";2004;114;30000000;5;4130
"Roberta";1935;106;610000;6.9;260
"Panama Hattie";1942;79;1097907;6.2;51
"Vertigo";1958;129;2479000;8.5;33875
"Malibu's Most Wanted";2003;86;16000000;4.9;2099
"Edge of Eternity";1959;80;700000;5.8;44
"Hunter, The";1980;97;8000000;5.8;559
"Rabbit-Proof Fence";2002;94;6000000;7.7;5079
"Man on the Moon";1999;118;52000000;7.3;19826
"Cinderella";1950;74;2900000;7.3;5596
"Charlie Chan in Paris";1935;72;110000;7;199
"Love Me Tender";1956;89;1000000;5.6;442
"Mission: Impossible";1996;110;75000000;6.6;33496
"Liberata Me";2002;27;66000;6.7;15
"Beautiful Mind, A";2001;135;60000000;7.8;43291
"Importance of Being Earnest, The";2002;97;15000000;6.8;3598
"Prophecy, The";1995;98;8000000;6.4;4148
"Pygmalion";1938;89;350000;7.7;887
"Crimen del padre Amaro, El";2002;118;1800000;7;2469
"Meet the Fockers";2004;115;80000000;6.5;11950
"Circle of Iron";1978;102;4000000;5.2;376
"Max Keeble's Big Move";2001;86;12000000;5.3;587
"Oblivion";1994;94;2500000;4.2;188
"Criminal, The";1960;97;200000;6.7;70
"Boiler Room";2000;118;9000000;6.8;8586
"Trance";1998;94;4000000;3.9;392
"University Heights";2004;95;10000;7.9;30
"My Boss's Daughter";2003;90;14000000;4.1;2765
"Cat's Eye";1985;94;7000000;5.7;2301
"Newsies";1992;121;15000000;5.7;2997
"Beetle Juice";1988;92;15000000;7.1;20966
"Fortune Cookie, The";1966;125;3705000;7.4;1504
"Deuces Wild";2002;100;10000000;5.3;1511
"Contender, The";2000;126;9000000;6.9;7023
"Halloween: Resurrection";2002;89;15000000;4.3;4323
"Boys Beware";1961;10;1000;4.2;21
"Bluefish";2003;24;7000;7.6;5
"Date, The";2004;12;3000;9.2;11
"Excessive Force";1993;90;13000000;4.2;214
"What Did You Do in the War, Daddy?";1966;116;7000000;6.1;204
"Roadside Convenience";2003;15;1000;7.6;6
"Robin and Marian";1976;106;5000000;6.6;1703
"Brown Bunny, The";2003;119;10000000;5.1;1045
"It's Impossible to Learn to Plow by Reading Books";1988;85;3000;5.2;58
"Creepshow 2";1987;92;3500000;4.9;1524
"Terrorists";2004;72;80000;9.4;9
"Adventures of Bob & Doug McKenzie: Strange Brew, The";1983;90;4000000;6.6;4556
"Blair Witch Project, The";1999;86;35000;6.1;39814
"Inseminoid";1981;93;2000000;2.8;248
"Boys Don't Cry";1999;118;2000000;7.6;14456
"Donnie Brasco";1997;127;35000000;7.6;20029
"Spy Kids 2: Island of Lost Dreams";2002;99;39000000;5.8;3175
"Curse of El Charro, The";2004;90;200000;6;29
"Limbo";1999;126;8300000;7.1;2063
"Everything's Gone Green";2005;19;30000;9;11
"English Patient, The";1996;160;27000000;7.1;25210
"Her Urge";2000;15;20000;5.5;11
"Masters of the Universe";1987;106;17000000;4.4;3288
"Sphere";1998;134;80000000;5.3;12990
"Mean People Suck";2003;8;10000;4.7;48
"Myra Breckinridge";1970;91;5000000;4;431
"Curiosity & the Cat";1999;80;45000;4.1;46
"Barbarian and the Geisha, The";1958;105;3500000;4.7;226
"Killer Eye, The";1999;72;400000;2.2;210
"George and the Dragon";2004;93;32000000;5.5;137
"Tusk";1980;119;1500000;5;25
"Betrayal";2003;90;750000;4.7;157
"Bean Cake";2001;12;12000;6.8;36
"Great Race, The";1965;160;12000000;6.9;2248
"Sumas y restas";2004;109;1500000;6;12
"Bill & Ted's Excellent Adventure";1989;90;10000000;6.6;12277
"I'll Be Seeing You";1945;85;3250000;6.8;130
"Robinson Crusoe on Mars";1964;110;1200000;6.6;657
"Naken";2000;94;25000;4.8;420
"Tall Tale";1995;98;32000000;4.8;383
"Eighteenth Angel, The";1998;95;25000000;4.6;557
"Dementia 13";1963;75;30000;5.4;641
"Debtors, The";1999;90;14000000;6.9;38
"Cherish";2002;99;1500000;6.5;743
"Is It True What They Say About Ann?";2004;40;5000;7.3;25
"Master and Commander: The Far Side of the World";2003;138;150000000;7.5;21328
"Full Monty, The";1997;91;3500000;7.2;22115
"Here Comes the Groom";1951;113;2117000;5.2;117
"Conqueror, The";1956;111;6000000;3.3;364
"Star Wars: Episode II - Attack of the Clones";2002;120;120000000;7;63889
"Killer Shrews, The";1959;69;123000;3.3;403
"Timeline";2003;116;80000000;5.2;5803
"Resident Evil";2002;100;35000000;6.2;18978
"Bulletproof";1988;93;5000000;3.8;155
"Zephyr";2003;28;28000;7.7;15
"Flesh";1968;105;4000;5.7;287
"Free Money";1998;91;30000000;4.7;619
"Beat the Drum";2003;114;1500000;7;26
"Air Bud";1997;98;3000000;4.7;1276
"Robo Vampire";1988;90;2500000;1.8;90
"Shrek";2001;90;60000000;8;65146
"Central do Brasil";1998;108;2900000;7.9;8980
"At Long Last Love";1975;105;6000000;4.3;193
"Born Losers, The";1967;113;360000;5.4;223
"Clearing the Range";1931;61;60000;4.5;6
"State's Evidence";2004;89;400000;7;12
"Afterschool Delight";2003;10;5000;6.3;5
"Luz prodigiosa, La";2003;108;2000000;7;44
"Shanghai Surprise";1986;97;17000000;2.8;836
"Fando y Lis";1967;93;100000;6.6;218
"Intolerable Cruelty";2003;100;60000000;6.6;11967
"Killer Bean 2: The Party";2000;7;2800;7;110
"Mix Tape";2003;97;15000;7.7;7
"Near Dark";1987;90;5000000;7;3288
"Your Face";1987;3;2000;7.6;111
"How Green Was My Valley";1941;118;1250000;7.9;2662
"Merchant of Venice, The";2004;138;30000000;7.3;1400
"Something Weird";1967;80;35000;3.1;63
"Midnight Express";1978;121;2300000;7.6;7617
"Combat Shock";1986;92;40000;5.6;237
"Bless the Child";2000;107;40000000;5;3814
"Dong er shi er tiao";1997;14;2000;3.7;10
"Man with a Plan";1996;89;100000;7.1;68
"Liberty Bound";2004;90;100000;4.7;60
"Giant";1956;201;5400000;7.5;4210
"Ella Enchanted";2004;96;35000000;6.5;2502
"Petit soldat, Le";1963;88;180000;7.1;358
"Red Ribbon Blues";1996;97;3000000;4.5;38
"Rogue Trader";1999;101;12800000;6.1;1379
"Monsieur Verdoux";1947;114;2000000;7.5;1254
"Take a Giant Step";1959;100;300000;5.6;6
"Hardware";1990;93;1500000;5.2;1323
"Drop Zone";1994;101;45000000;5.5;3104
"Dodgeball: A True Underdog Story";2004;92;20000000;6.6;14584
"Control de plagas";2004;14;5000;8.1;10
"Nochnoy dozor";2004;115;4200000;6.3;1020
"Solstice";1994;48;130000;5.1;9
"Trader Horn";1931;122;1320000;6.8;83
"Parnell";1937;118;1547000;4.5;53
"Wedding Toast, The";2003;30;22000;8.8;5
"P.S. Your Cat Is Dead";2002;88;2000000;4.7;185
"Return to Never Land";2002;72;20000000;5.8;988
"Lemony Snicket's A Series of Unfortunate Events";2004;108;125000000;6.7;8402
"Gone in Sixty Seconds";2000;117;90000000;5.7;25400
"K-19: The Widowmaker";2002;140;100000000;6.6;8292
"Red Rock West";1992;98;8000000;7;3861
"Punch-Drunk Love";2002;95;25000000;7.5;18169
"Mercy";2003;112;5000;5.8;6
"Gypsy";1962;143;4000000;7.1;675
"Man on Fire";2004;146;70000000;7.4;14358
"Ernest Saves Christmas";1988;95;6000000;4.6;1125
"Snow White and the Three Stooges";1961;107;3500000;4.1;174
"Sweet Hideaway";2003;96;350000;1.9;13
"Growin' a Beard";2003;29;10000;8.7;7
"Cleopatra";1917;125;500000;9.3;25
"Secret Cinema, The";1968;30;5000;7.7;22
"Ring, The";2002;115;45000000;7.4;30687
"Van Helsing";2004;132;160000000;5.4;19787
"Congo";1995;109;50000000;4.4;8058
"Great Train Robbery, The";1903;12;0;7.4;849
"Sylvia Scarlett";1935;95;1000000;6;411
"How to Live with a Vegan Without Killing Them";2004;84;330000;5.5;10
"Daylight";1996;110;80000000;5.4;6979
"Amadeus";1984;180;18000000;8.3;36955
"Sweet Angel Mine";1996;88;5000000;5.3;119
"New York Stories";1989;124;15000000;6.1;2699
"Wedding Date, The";2005;90;15000000;5;953
"Jack and the Beanstalk";1952;78;683000;5.2;268
"Just Visiting";2001;93;40000000;5.6;2212
"Anima";2003;26;50000;7.9;12
"Empire";2002;90;3500000;6;1718
"Sorority House Vampires";1998;86;50000;1.8;83
"Words and Music";1948;120;2799970;5.9;148
"Dead Poets Society";1989;128;16400000;7.7;43294
"Blue in the Face";1995;83;2000000;6.4;2306
"Seven Sinners";1940;87;760000;6.4;171
"Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The";1964;82;38000;2.2;695
"Thomas and the Magic Railroad";2000;85;19000000;4.2;364
"Commandments";1997;88;5000000;5.4;468
"Alan Smithee Film: Burn Hollywood Burn, An";1997;86;10000000;3.2;1262
"Alpha Dead";2004;11;5000;8;6
"Victim, The";2004;16;15000;9.8;5
"Light in the Piazza";1962;102;553280;6.5;162
"Great Dictator, The";1940;124;2000000;8.4;10465
"Oblong Box, The";1969;91;175000;5.6;287
"Red Planet";2000;106;75000000;5.3;8623
"Sound of Music, The";1965;174;8200000;7.8;20641
"Grosse Pointe Blank";1997;107;15000000;7.4;20400
"Tucker: The Man and His Dream";1988;110;25000000;6.8;2944
"In the Line of Fire";1993;138;40000000;7.3;12923
"Guy Thing, A";2003;101;20000000;5.3;2885
"Bad Boy Bubby";1993;112;750000;7;1033
"Daddy and Them";2001;101;4000000;5;364
"Alice";1990;102;12000000;6.4;1706
"Last Picture Show, The";1971;118;1300000;8;5340
"Ghost Town";1956;77;100000;4.5;10
"Thank God He Met Lizzie";1997;91;2500000;5.9;196
"One Exciting Night";1922;128;267000;4.6;8
"Chain of Fools";2000;96;20000000;6.1;845
"Pet Sematary II";1992;96;8000000;3.7;1979
"I Cover the War";1937;68;70000;3.4;22
"Blacktop";2000;100;3500000;4.7;192
"Color of Money, The";1986;119;10000000;6.8;9095
"Perfect Storm, The";2000;130;120000000;6.2;24946
"Ehad Mishelanu";1989;110;500000;7.1;30
"Man Who Would Be King, The";1975;129;8000000;7.9;8035
"Saints and Soldiers";2003;90;780000;6.9;689
"Bad Girls from Mars";1991;86;52000;3.7;50
"Fortress";1993;95;12000000;5.3;2577
"Hart's War";2002;125;70000000;6.2;6368
"Cliffhanger";1993;112;65000000;6;12434
"She Done Him Wrong";1933;66;200000;6.8;512
"Gamers, The";2003;15;9000;7.1;13
"Unfaithful";2002;125;50000000;6.6;8713
"Silence of the Lambs, The";1991;118;19000000;8.5;92060
"Sparrows";1926;84;463455;7.4;119
"Phantasm III: Lord of the Dead";1994;91;2500000;4.8;608
"Searching for Debra Winger";2002;97;600000;5.6;301
"At Night with No Curtains";2004;87;8000;2.7;23
"Varsity Blues";1999;100;16000000;6;7974
"Phantasm IV: Oblivion";1998;90;650000;4.5;492
"Day of the Dead";1985;97;3500000;6.5;5053
"Last Days of Pompeii, The";1935;96;1000000;6.5;106
"Destino";2003;7;1500000;7.8;156
"Stakeout on Dope Street";1958;89;35000;7;9
"Bread, My Sweet, The";2001;105;600000;6.8;257
"Tarzan and the Mermaids";1948;68;1000000;5.5;177
"Voodoo Woman";1957;75;65000;3.3;51
"Galaxy Quest";1999;102;45000000;7.2;22341
"Topo, El";1970;125;400000;7.3;1008
"Moonlight Mile";2002;117;20000000;6.9;3479
"Taste of Blood, A";1967;117;65000;2.4;44
"Caged Heat";1974;83;180000;4.9;295
"Book of Mormon Movie, Volume 1: The Journey, The";2003;120;2000000;3.4;142
"Pulp Diction";2003;1;1000;6.5;14
"Life of Jimmy Dolan, The";1933;89;202000;5.4;36
"Sahara";1983;111;25000000;3.5;157
"Space-Thing";1968;69;17500;3.5;26
"xXx";2002;132;85000000;5.5;18514
"Rainmaker, The";1997;135;40000000;6.8;8620
"Company Jasmine";2001;55;150000;8.4;47
"Untold, The";2002;92;3000000;3.8;400
"Trotsky";1993;98;1500000;4.3;8
"Morphin(e)";2005;20;8000;9.7;7
"Hitchhiker's Guide to the Galaxy, The";2005;110;50000000;6.9;7644
"Freddy Got Fingered";2001;87;15000000;3.5;9115
"Milky Way, The";1936;89;1032000;6.9;151
"Norma's Lament";1997;34;25000;2.8;16
"Great Lengths";2004;20;25000;7;5
"Jeepers Creepers";2001;90;10000000;5.4;10973
"First Love, Last Rites";1997;94;300000;5;147
"Street Pirates";1994;94;650000;8.2;111
"House of the Spirits, The";1993;146;40000000;6.3;3205
"Stanley and Livingstone";1939;101;2000000;7.2;175
"Bullets Over Broadway";1994;98;20000000;7.4;6685
"Easy Rider";1969;94;340000;7.2;10230
"She Wore a Yellow Ribbon";1949;103;1600000;7.5;2242
"Naked Gun 33 1/3: The Final Insult";1994;83;30000000;5.8;8918
"Goldwyn Follies, The";1938;120;1800000;5.2;61
"Jurk, De";1996;95;2650000;6.8;274
"Terror Train";1980;97;3500000;5.2;567
"Sweepers";1999;93;12500000;3.9;276
"Rave Macbeth";2001;87;3500000;6.2;67
"Vanishing Point, The";1998;14;2000;9;6
"Zar Gul";1995;140;1700000;6.8;6
"Demonium";2001;85;2200000;3.7;55
"Lethal Weapon";1987;117;15000000;7.5;20041
"Good Man in Africa, A";1994;94;20000000;4.6;473
"Parents";1989;81;3000000;5.9;625
"Jungle Princess, The";1936;85;300000;7.2;22
"Love Letters";1984;98;550000;6.1;158
"Arch of Triumph";1948;133;5000000;5.6;169
"Deep Blue Sea";1999;105;78000000;5.5;17666
"My Big Fat Greek Wedding";2002;95;5000000;6.9;21675
"Trio";2003;102;1200000;4.7;18
"Rich Kids";1979;96;2500000;5.6;84
"Hometown Legend";2002;108;2000000;4.6;186
"National Treasure";2004;131;100000000;6.6;12361
"Undisputed";2002;96;20000000;5.6;1769
"Radio";2003;109;35000000;6.9;3594
"Citizen Shane";2004;59;4000;5;10
"Basic Instinct";1992;128;49000000;6.7;19520
"My Samurai";1992;87;700000;3.8;20
"Xanadu";1980;93;20000000;4.4;2201
"Close Encounters of the Third Kind";1977;137;20000000;7.7;26304
"Ali";2001;165;107000000;6.4;9294
"Barn Dance, The";1929;7;5121;5.9;22
"Shadow Conspiracy";1997;103;45000000;4.5;1078
"Nurse Betty";2000;110;24000000;6.6;10441
"Made Incorrect";2002;18;25000;8.2;6
"Best Foot Forward";1943;94;1125502;6.2;97
"Baby Face";1933;71;187000;6.4;260
"Play It to the Bone";1999;124;24000000;5.1;2645
"Lethal Weapon 4";1998;127;140000000;6.3;17758
"Trauma";1962;93;69000;4.4;6
"Mysterious Island, The";1929;95;1130000;5.9;51
"Die Hard 2";1990;124;70000000;6.7;22987
"Meili xin shijie";1999;100;300000;5.3;40
"Princess Diaries 2: Royal Engagement, The";2004;115;40000000;5.3;2605
"Holiday Inn";1942;100;3200000;7.4;1252
"Dagon";2001;97;4800000;6;1549
"Maniac Cop";1988;85;1100000;5;709
"Core, The";2003;135;74000000;5.4;7860
"Dracula 2000";2000;99;28000000;4.9;5364
"I Inside, The";2003;90;8800000;6;734
"Way of the Vampire";2005;90;1000000;3;16
"Broken Hearts Club: A Romantic Comedy, The";2000;94;1000000;6.8;1712
"Dante's Inferno";1935;88;748900;6.6;80
"Spirit of St. Louis, The";1957;135;6000000;7.1;1007
"Lights of New York";1928;57;75000;5;61
"He Got Game";1998;137;25000000;6.6;4198
"Highway to Hell";1992;94;9000000;5.3;423
"Sleepaway Camp";1983;84;350000;5.3;1104
"Misfits, The";1961;120;4000000;7.3;1905
"Ginger Snaps: Unleashed";2004;94;3500000;6.6;1118
"Hungry Wives";1973;89;120000;4.6;202
"Black Legion";1937;83;235000;6.8;218
"Golden Bowl, The";2000;130;15000000;6;1145
"What's Eating Gilbert Grape";1993;118;11000000;7.6;16345
"Rugrats Movie, The";1998;79;28000000;5.4;1455
"Urban Legend";1998;99;14000000;5.1;8245
"Double Jeopardy";1999;105;40000000;5.9;13587
"Below the Belt";2004;95;1500000;7.9;15
"Rain People, The";1969;101;750000;6.7;319
"Riding the Bullet";2004;98;5000000;5.2;438
"Poltergeist II: The Other Side";1986;130;19000000;4.9;2482
"Frame of Mind";2003;20;30000;7;6
"Tron";1982;96;17000000;6.4;9084
"Cradle 2 the Grave";2003;101;25000000;5.3;4164
"Where the Money Is";2000;89;18000000;6.2;1461
"Captured!";1933;69;245000;6;36
"Lionheart";1990;105;2500000;5.1;2123
"Missy";2001;71;5000;9.6;19
"Flossin";2001;81;86000;7.9;7
"Vacant Lot";2000;108;75000;6.1;12
"Zero Effect";1998;116;5000000;7;4820
"80's Ending";2003;9;10000;8.3;15
"Stark Raving Mad";2002;102;5000000;6.2;601
"Set It Off";1996;123;9000000;6.1;1619
"Las Vegas Weekend";1986;83;2000000;1.1;10
"Hunchback of Notre Dame, The";1923;98;1250000;7.4;414
"Speed";1994;116;28000000;7.1;32979
"Rear Window";1954;112;2000000;8.7;41035
"Aladdin";1992;90;28000000;7.6;22499
"My Cousin Vinny";1992;120;11000000;7.2;10877
"I Heart Huckabees";2004;106;22000000;7;7262
"Big Bully";1996;90;15000000;4.2;781
"Yerma";1999;118;1670000;5.5;38
"Bottle and the Throttle, The";1968;10;1000;3.8;7
"Sugar & Spice";2001;84;11000000;5.3;2901
"Trouble with Harry, The";1955;99;1200000;7.3;3674
"Born to Be Bad";1934;62;252238;5.6;59
"Assisted Living";2003;78;500000;7.4;56
"Heat and Sunlight";1987;98;90000;5.1;18
"David Nelson Live";2000;42;0;9.7;6
"Borrowers, The";1997;89;29000000;5.6;1457
"For Love of the Game";1999;137;50000000;6.1;5782
"Conquest of the Planet of the Apes";1972;88;1700000;5.5;2255
"Guerra de Canudos";1997;170;6000000;7.5;126
"Down and Out with the Dolls";2001;88;1200000;6;37
"Dr. Jekyll and Mr. Hyde";1931;96;1140000;7.6;1018
"Petite morte, La";2003;41;55000;7;10
"Gojira ni-sen mireniamu";1999;99;1000000;5.6;1150
"Hocus Pocus";1993;96;28000000;5.3;3256
"25 Watts";2001;92;200000;7;275
"Friday the 13th Part 3: 3D";1982;91;4000000;4.3;3239
"Santos peregrinos";2004;94;900000;4.5;20
"55 Days at Peking";1963;150;17000000;6.6;700
"Forever Amber";1947;138;6000000;6.5;149
"Gold Raiders";1951;56;50000;5.5;16
"It's Always Fair Weather";1955;102;2062256;7;324
"Purple Rose of Cairo, The";1985;84;15000000;7.5;5273
"Pirates of the Caribbean: The Curse of the Black Pearl";2003;143;125000000;8;60812
"Bridge on the River Kwai, The";1957;161;3000000;8.4;22408
"Girl 6";1996;108;12000000;5;1453
"Fall";1997;93;1000000;5.1;495
"Madness and Genius";2003;103;19000;6.4;20
"Paparazzi";2004;84;20000000;5.6;2028
"Perfect Sense";2003;18;2100;8.3;6
"Versace Murder, The";1998;91;4000000;3.6;71
"Evita";1996;134;55000000;6.2;8371
"Sorte Nula";2004;85;150000;7.3;134
"Detective Fiction";2003;102;200000;4.9;41
"2001: A Space Odyssey";1968;156;10500000;8.3;64982
"8MM";1999;123;40000000;5.9;18541
"She Had to Say Yes";1933;65;111000;6;42
"Princess Diaries, The";2001;114;37000000;6;6892
"Rumble Fish";1983;94;10000000;6.8;3354
"Donovan's Reef";1963;109;2686585;6.5;1062
"Halloween II";1981;90;2500000;5.7;5157
"Akasha";2001;82;1500;7.3;29
"Hard to Handle";1933;78;189000;6.9;60
"Day of the Animals";1977;97;1200000;4.2;158
"That Cold Day in the Park";1969;113;500000;6.2;106
"Anacondas: The Hunt for the Blood Orchid";2004;97;25000000;4.2;2258
"Those Magnificent Men in Their Flying Machines, or How I Flew from London to Paris in 25 hours 11 minutes";1965;138;5600000;6.7;1064
"Eban and Charley";2000;86;30000;4.5;110
"Sweet Charity";1969;154;20000000;6.8;640
"Hunting Camp";2005;38;4000;8.1;13
"Vor";1997;110;2000000;7.2;841
"Freedom Downtime";2001;121;25000;8;236
"Bruce Almighty";2003;101;81000000;6.4;23905
"Edges of the Lord";2001;95;7500000;7;639
"Scene Stealers";2004;99;75000;8.6;14
"Undead, The";1957;71;70000;3.8;261
"Notebook, The";2004;123;30000000;7.8;8830
"Hot Touch, The";1982;93;4700000;4.8;13
"Story of Alexander Graham Bell, The";1939;98;1500000;7.2;141
"Wild Horse";1931;77;60000;5.7;10
"Mondo Topless";1966;60;12000;3.9;117
"Everlasting Piece, An";2000;103;14000000;6.1;475
"Good Boy!";2003;88;18000000;4.7;683
"Country Bears, The";2002;88;35000000;3.7;664
"Suspect Zero";2004;99;27000000;5.7;1310
"D.I.Y. or Die: How to Survive as an Independent Artist";2002;55;5000;9.4;10
"Friday";1995;91;3500000;6.7;7020
"Someone Like You...";2001;97;23000000;5.7;4249
"In the Cut";2003;119;12000000;5.1;4525
"Women in Love";1969;131;1600000;7.2;817
"Real Cancun, The";2003;96;8000000;2.8;1504
"Claustrophobia";2003;79;114000;4.2;90
"Venus in Furs";1967;65;8500;2.1;8
"Incident at Loch Ness";2004;94;1400000;6.4;251
"Spinal Tap: The Final Tour";1998;20;50000;6.6;5
"Standing by Yourself";2002;65;1000;9.1;8
"Four Weddings and a Funeral";1994;117;6000000;7.2;17820
"American Pie 2";2001;105;30000000;6.3;22752
"Macabre";1958;72;150000;5.5;58
"Kissin' Cousins";1964;96;800000;4.3;262
"You're a Big Boy Now";1966;96;800000;6.3;260
"1941";1979;146;35000000;5.6;5536
"Far from India";2003;101;10000;6.1;13
"Bride of the Wind";2001;99;12000000;5.2;201
"Biohazard";1984;84;250000;3.2;40
"Banger Sisters, The";2002;98;10000000;5.6;3189
"Triggermen";2002;96;12000000;5.8;317
"Space Jam";1996;87;80000000;5.2;7995
"Any Number Can Play";1949;112;1465641;6.3;67
"Clash of the Titans";1981;118;15000000;6.3;3860
"Busting Out";2004;57;100000;9.4;5
"Losing Isaiah";1995;111;17000000;6.1;794
"Geronimo: An American Legend";1993;115;50000000;6.2;1233
"Optimistic";2002;9;0;8.1;7
"Ocean Tribe";1997;106;380000;6.3;60
"Blood Money";1933;65;238591;7.6;20
"Pocketful of Miracles";1961;136;2900000;7.1;760
"Kiss of the Tarantula";1976;85;200000;3.8;22
"Wolf Man, The";1941;70;180000;7.4;1582
"Drive-in Movie Memories";2001;57;225000;8.3;6
